gender,age,civilStatus,childrens,district,health,closeFriends,work,workHoursWeek,familyMembers,familiarIncome,fatherStudy,motherStudy,university,typeExam,elementarySchool,profession,yearStudy,universitySelectionReazon,minToTravel,weekStudyTime,failCourses,AsistancePercentage,midterExam,finalExam,practiceGrade,FinalGrade,StudentPerformance
0,19,1,0,2,2,3,0,4,3,2,1,1,1,1,1,2,2,1,15.0,2.0,1,90,14,12,13.0,13.0,1
0,22,1,0,2,0,2,0,0,3,2,1,0,1,1,0,2,3,3,30.0,8.0,0,100,16,17,16.0,16.33333333,2
1,24,1,0,0,1,5,1,48,4,2,1,1,1,1,1,3,5,3,45.0,0.0,0,80,15,15,16.0,15.33333333,2
0,20,1,0,2,0,4,1,25,5,2,1,1,1,1,0,2,5,3,50.0,5.0,2,100,14,14,14.0,14.0,2
0,21,0,1,2,0,2,1,40,5,1,1,1,1,1,0,2,4,1,40.0,4.0,4,70,17,17,17.0,17.0,2
0,21,1,0,2,1,2,1,12,5,1,0,1,1,1,1,2,5,1,60.0,2.0,2,70,11,11,11.0,11.0,1
0,19,1,0,1,0,2,0,8,3,2,1,0,1,1,0,2,3,1,20.0,4.0,0,100,15,15,14.0,14.66666667,2
0,27,0,0,2,0,2,1,9,4,2,0,0,1,1,0,2,4,1,20.0,5.0,0,100,18,18,18.0,18.0,0
0,19,1,0,2,0,3,1,48,5,2,0,0,1,0,1,2,3,3,1.0,20.0,0,97,17,18,16.0,17.0,2
0,29,0,0,1,0,4,1,48,7,2,0,0,1,1,0,2,3,3,25.0,48.0,2,90,12,14,15.0,13.66666667,2
0,20,1,0,2,0,0,0,24,5,1,0,1,1,1,0,2,4,3,90.0,12.0,2,100,18,17,16.0,17.0,2
0,23,0,0,0,0,4,1,8,4,2,1,1,1,1,0,2,3,3,90.0,10.0,0,98,14,16,15.0,15.0,2
0,20,1,0,2,0,5,0,0,4,2,0,0,1,1,0,2,5,3,40.0,4.0,0,100,16,17,16.0,16.33333333,2
0,22,1,0,3,0,5,0,0,11,1,0,0,1,1,0,2,3,3,120.0,3.0,0,100,17,17,18.0,17.33333333,0
0,23,1,0,2,0,30,0,0,4,2,0,1,1,1,1,2,5,3,50.0,10.0,0,90,14,14,13.0,13.66666667,2
0,35,1,1,3,0,5,1,20,6,1,0,1,1,1,1,2,4,3,180.0,8.0,0,98,18,16,16.0,16.66666667,2
1,19,1,0,2,0,10,0,0,5,2,1,0,1,0,1,2,3,1,45.0,4.0,0,100,17,18,16.5,17.16666667,0
1,21,1,0,2,0,4,1,5,5,2,0,0,1,1,0,2,4,3,20.0,18.0,1,60,16,16,16.0,16.0,2
0,19,1,0,1,0,0,0,0,6,2,1,0,1,1,1,2,3,3,60.0,4.0,0,100,16,16,16.0,16.0,2
0,21,1,0,1,0,2,0,0,5,2,1,1,1,1,1,2,4,1,1.0,10.0,1,100,16,16,14.0,15.33333333,2
1,21,1,0,2,0,2,1,9,3,2,0,1,1,1,1,2,4,1,30.0,20.0,3,100,15,14,15.0,14.66666667,2
